model,arm,task,press,kept,lang,n_answered,n_exact_copy,n_near_copy,n_novel,n_distractor_exact,exact_rate,near_rate,near_ci_low,near_ci_high,novel_rate,novel_ci_low,novel_ci_high,n_target_near_truncation,n_target_near_prefix,n_any_exact,n_any_near,n_any_novel,any_novel_rate,any_novel_ci_low,any_novel_ci_high
llama31-8b,qa,niah_none,none,1.0,sw,93.0,92.0,0.0,1.0,92.0,0.9892,0.0,0.0,0.0397,0.0108,0.0019,0.0584,0.0,0.0,92.0,1.0,1.0,0.0108,0.0019,0.0584
llama31-8b,qa,niah_none,none,1.0,vi,38.0,38.0,0.0,0.0,38.0,1.0,0.0,0.0,0.0918,0.0,0.0,0.0918,0.0,0.0,38.0,1.0,0.0,0.0,0.0,0.0918
llama31-8b,qa,niah_none,none,1.0,zh,76.0,76.0,0.0,0.0,76.0,1.0,0.0,0.0,0.0481,0.0,0.0,0.0481,0.0,0.0,76.0,1.0,0.0,0.0,0.0,0.0481
llama31-8b,qa,niah_none,snapkv,0.25,en,5.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.4345,0.0,0.0,0.4345,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.4345
llama31-8b,qa,niah_none,snapkv,0.25,ja,11.0,7.0,2.0,2.0,7.0,0.6364,0.1818,0.0514,0.477,0.1818,0.0514,0.477,0.0,0.0,7.0,5.0,5.0,0.4545,0.2127,0.7199
llama31-8b,qa,niah_none,snapkv,0.25,ko,85.0,83.0,2.0,0.0,83.0,0.9765,0.0235,0.0065,0.0818,0.0,0.0,0.0432,0.0,0.0,83.0,24.0,3.0,0.0353,0.0121,0.0987
llama31-8b,qa,niah_none,snapkv,0.25,pl,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.6576,0.0,0.0,0.6576,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6576
llama31-8b,qa,niah_none,snapkv,0.25,sw,95.0,94.0,1.0,0.0,94.0,0.9895,0.0105,0.0019,0.0572,0.0,0.0,0.0389,0.0,0.0,94.0,5.0,0.0,0.0,0.0,0.0389
llama31-8b,qa,niah_none,snapkv,0.25,vi,3.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.5615,0.0,0.0,0.5615,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.5615
llama31-8b,qa,niah_none,snapkv,0.25,zh,24.0,14.0,3.0,7.0,14.0,0.5833,0.125,0.0434,0.31,0.2917,0.1491,0.4917,0.0,0.0,14.0,3.0,10.0,0.4167,0.2447,0.6117
llama31-8b,qa,niah_none,snapkv,0.5,en,16.0,14.0,0.0,2.0,14.0,0.875,0.0,0.0,0.1936,0.125,0.035,0.3602,0.0,0.0,14.0,4.0,6.0,0.375,0.1848,0.6136
llama31-8b,qa,niah_none,snapkv,0.5,ja,39.0,38.0,0.0,1.0,38.0,0.9744,0.0,0.0,0.0897,0.0256,0.0045,0.1318,0.0,0.0,38.0,11.0,8.0,0.2051,0.1078,0.3553
llama31-8b,qa,niah_none,snapkv,0.5,ko,88.0,88.0,0.0,0.0,88.0,1.0,0.0,0.0,0.0418,0.0,0.0,0.0418,0.0,0.0,88.0,6.0,0.0,0.0,0.0,0.0418
llama31-8b,qa,niah_none,snapkv,0.5,pl,3.0,2.0,1.0,0.0,2.0,0.6667,0.3333,0.0615,0.7923,0.0,0.0,0.5615,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.5615
llama31-8b,qa,niah_none,snapkv,0.5,sw,95.0,94.0,0.0,1.0,94.0,0.9895,0.0,0.0,0.0389,0.0105,0.0019,0.0572,0.0,0.0,94.0,0.0,1.0,0.0105,0.0019,0.0572
llama31-8b,qa,niah_none,snapkv,0.5,vi,6.0,5.0,0.0,1.0,5.0,0.8333,0.0,0.0,0.3903,0.1667,0.0301,0.5635,0.0,0.0,5.0,0.0,1.0,0.1667,0.0301,0.5635
llama31-8b,qa,niah_none,snapkv,0.5,zh,65.0,53.0,8.0,4.0,53.0,0.8154,0.1231,0.0637,0.2245,0.0615,0.0242,0.1478,0.0,0.0,53.0,23.0,19.0,0.2923,0.1958,0.412
llama31-8b,qa,niah_none,streaming_llm,0.25,en,18.0,18.0,0.0,0.0,18.0,1.0,0.0,0.0,0.1759,0.0,0.0,0.1759,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.1759
