model,arm,task,lang,press,kept,drop,d_false_absence,d_wrong_number,d_other,share_false_absence,share_wrong_number,share_other,d_false_presence_distractor,d_false_presence_hallucinated,share_false_presence_distractor,share_false_presence_hallucinated
llama31-8b,qa,niah_single,vi,snapkv,0.25,0.87,0.7000000000000001,0.17,0.0,0.8045977011494254,0.19540229885057472,0.0,,,,
llama31-8b,qa,niah_single,zh,snapkv,0.25,0.74,0.53,0.12,0.09,0.7162162162162162,0.16216216216216217,0.12162162162162161,,,,
llama31-8b,qa,niah_single,en,snapkv,0.5,0.09999999999999998,0.05,0.05,0.0,0.5000000000000001,0.5000000000000001,0.0,,,,
llama31-8b,qa,niah_single,ja,snapkv,0.5,0.21999999999999997,0.05,0.17,0.0,0.22727272727272732,0.7727272727272729,0.0,,,,
llama31-8b,qa,niah_single,ko,snapkv,0.5,-0.010000000000000009,-0.04999999999999999,0.039999999999999994,0.0,,,,,,,
llama31-8b,qa,niah_single,pl,snapkv,0.5,0.54,0.37,0.17,0.0,0.6851851851851851,0.3148148148148148,0.0,,,,
llama31-8b,qa,niah_single,sw,snapkv,0.5,0.010000000000000009,0.01,0.010000000000000009,-0.01,0.9999999999999991,1.0,-0.9999999999999991,,,,
llama31-8b,qa,niah_single,vi,snapkv,0.5,0.76,0.49,0.24,0.03,0.6447368421052632,0.3157894736842105,0.039473684210526314,,,,
llama31-8b,qa,niah_single,zh,snapkv,0.5,0.35,0.11,0.21,0.03,0.31428571428571433,0.6,0.08571428571428572,,,,
llama31-8b,qa,niah_single,en,streaming_llm,0.25,0.73,0.56,0.16,0.01,0.767123287671233,0.21917808219178084,0.013698630136986302,,,,
llama31-8b,qa,niah_single,ja,streaming_llm,0.25,0.73,0.71,0.02,0.0,0.9726027397260274,0.027397260273972605,0.0,,,,
llama31-8b,qa,niah_single,ko,streaming_llm,0.25,0.56,0.36,0.19,0.01,0.6428571428571428,0.33928571428571425,0.017857142857142856,,,,
llama31-8b,qa,niah_single,pl,streaming_llm,0.25,0.5599999999999999,-0.16,0.2,0.52,-0.28571428571428575,0.3571428571428572,0.9285714285714287,,,,
llama31-8b,qa,niah_single,sw,streaming_llm,0.25,0.65,0.09000000000000001,0.51,0.049999999999999996,0.13846153846153847,0.7846153846153846,0.07692307692307691,,,,
llama31-8b,qa,niah_single,vi,streaming_llm,0.25,0.71,0.51,0.2,0.0,0.7183098591549296,0.28169014084507044,0.0,,,,
llama31-8b,qa,niah_single,zh,streaming_llm,0.25,0.71,0.63,0.03,0.05,0.8873239436619719,0.04225352112676056,0.07042253521126761,,,,
llama31-8b,qa,niah_single,en,streaming_llm,0.5,0.54,0.36,0.18,0.0,0.6666666666666666,0.3333333333333333,0.0,,,,
llama31-8b,qa,niah_single,ja,streaming_llm,0.5,0.53,0.48,0.05,0.0,0.9056603773584905,0.09433962264150944,0.0,,,,
