model,arm,task,lang,press,kept,acc,acc_robust,n,delta_robust
llama31-8b,qa,niah_single,vi,knorm,0.25,0.14,0.14,100,0.0
llama31-8b,qa,niah_single,vi,knorm,0.5,0.79,0.79,100,0.0
llama31-8b,qa,niah_single,vi,none,1.0,0.9,0.9,100,0.0
llama31-8b,qa,niah_single,vi,snapkv,0.25,0.03,0.03,100,0.0
llama31-8b,qa,niah_single,vi,snapkv,0.5,0.14,0.14,100,0.0
llama31-8b,qa,niah_single,vi,streaming_llm,0.25,0.19,0.19,100,0.0
llama31-8b,qa,niah_single,vi,streaming_llm,0.5,0.4,0.4,100,0.0
llama31-8b,qa,niah_single,zh,knorm,0.25,0.05,0.05,100,0.0
llama31-8b,qa,niah_single,zh,knorm,0.5,0.36,0.36,100,0.0
llama31-8b,qa,niah_single,zh,none,1.0,0.98,0.98,100,0.0
llama31-8b,qa,niah_single,zh,snapkv,0.25,0.24,0.24,100,0.0
llama31-8b,qa,niah_single,zh,snapkv,0.5,0.63,0.63,100,0.0
llama31-8b,qa,niah_single,zh,streaming_llm,0.25,0.27,0.27,100,0.0
llama31-8b,qa,niah_single,zh,streaming_llm,0.5,0.43,0.43,100,0.0
qwen25-7b-1m,joint,niah_single,en,knorm,0.25,0.01,0.01,100,0.0
qwen25-7b-1m,joint,niah_single,en,knorm,0.5,0.09,0.09,100,0.0
qwen25-7b-1m,joint,niah_single,en,none,1.0,0.98,0.98,100,0.0
qwen25-7b-1m,joint,niah_single,en,snapkv,0.25,0.98,0.98,100,0.0
qwen25-7b-1m,joint,niah_single,en,snapkv,0.5,0.98,0.98,100,0.0
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.25,0.27,0.27,100,0.0
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.5,0.45,0.45,100,0.0
qwen25-7b-1m,joint,niah_single,ja,knorm,0.25,0.01,0.01,100,0.0
qwen25-7b-1m,joint,niah_single,ja,knorm,0.5,0.08,0.08,100,0.0
qwen25-7b-1m,joint,niah_single,ja,none,1.0,0.9,1.0,100,-0.1
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.25,0.92,0.99,100,-0.07
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.5,0.95,1.0,100,-0.05
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.25,0.28,0.28,100,0.0
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.5,0.45,0.46,100,-0.01
qwen25-7b-1m,joint,niah_single,ko,knorm,0.25,0.05,0.05,100,0.0
qwen25-7b-1m,joint,niah_single,ko,knorm,0.5,0.63,0.63,100,0.0
qwen25-7b-1m,joint,niah_single,ko,none,1.0,1.0,1.0,100,0.0
qwen25-7b-1m,joint,niah_single,ko,snapkv,0.25,1.0,1.0,100,0.0
qwen25-7b-1m,joint,niah_single,ko,snapkv,0.5,0.99,1.0,100,-0.01
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.25,0.28,0.28,100,0.0
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.5,0.49,0.49,100,0.0
qwen25-7b-1m,joint,niah_single,pl,knorm,0.25,0.01,0.01,100,0.0
qwen25-7b-1m,joint,niah_single,pl,knorm,0.5,0.07,0.07,100,0.0
qwen25-7b-1m,joint,niah_single,pl,none,1.0,1.0,1.0,100,0.0
qwen25-7b-1m,joint,niah_single,pl,snapkv,0.25,1.0,1.0,100,0.0
qwen25-7b-1m,joint,niah_single,pl,snapkv,0.5,1.0,1.0,100,0.0
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.25,0.28,0.28,100,0.0
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.5,0.49,0.49,100,0.0
qwen25-7b-1m,joint,niah_single,sw,knorm,0.25,0.01,0.01,100,0.0
qwen25-7b-1m,joint,niah_single,sw,knorm,0.5,0.08,0.09,100,-0.01
qwen25-7b-1m,joint,niah_single,sw,none,1.0,0.56,0.57,100,-0.01
qwen25-7b-1m,joint,niah_single,sw,snapkv,0.25,0.48,0.48,100,0.0
qwen25-7b-1m,joint,niah_single,sw,snapkv,0.5,0.59,0.59,100,0.0
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.25,0.14,0.16,100,-0.02
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.5,0.25,0.25,100,0.0
qwen25-7b-1m,joint,niah_single,vi,knorm,0.25,0.0,0.0,100,0.0
qwen25-7b-1m,joint,niah_single,vi,knorm,0.5,0.11,0.11,100,0.0
qwen25-7b-1m,joint,niah_single,vi,none,1.0,0.96,0.96,100,0.0
qwen25-7b-1m,joint,niah_single,vi,snapkv,0.25,0.96,0.96,100,0.0
