model,arm,task,lang,press,kept,base_acc,base_floor,delta,delta_ci_low,delta_ci_high,gap_amp,ga_ci_low,ga_ci_high,ga_sig,ga_p,gap_amp_logodds,ga_lo_ci_low,ga_lo_ci_high,ga_lo_sig,ga_lo_p,ga_q,ga_lo_q,ga_sig_bh,ga_lo_sig_bh
llama31-8b,qa,niah_none,ko,streaming_llm,0.5,0.83,False,0.57,0.45,0.69,0.6,0.46,0.73,True,0.0009995002498750624,2.7258,2.0297,3.5943,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,ko,streaming_llm,0.25,0.83,False,0.45,0.33,0.56,0.57,0.41,0.72,True,0.0009995002498750624,2.6059,1.8338,3.465,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,ko,knorm,0.5,0.83,False,0.12,0.0297,0.21,0.21,0.09,0.32,True,0.002,1.0843,0.4613,1.7256,True,0.003,0.0030000000000000005,0.0046956521739130435,True,True
llama31-8b,qa,niah_none,ko,knorm,0.25,0.83,False,0.49,0.39,0.6,0.5,0.36,0.63,True,0.0009995002498750624,2.2615,1.6086,3.0199,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,pl,snapkv,0.5,0.93,False,-0.04,-0.09,0.01,0.14,0.05,0.22,True,0.002,0.0995,-1.6101,1.1693,False,0.885,0.0030000000000000005,0.885,True,False
llama31-8b,qa,niah_none,pl,snapkv,0.25,0.93,False,-0.02,-0.08,0.03,0.19,0.09,0.29,True,0.001,0.7754,-0.3997,1.8508,False,0.167,0.0016363636363636365,0.21471428571428572,True,False
llama31-8b,qa,niah_none,pl,streaming_llm,0.5,0.93,False,0.24,0.14,0.34,0.27,0.15,0.39,True,0.0009995002498750624,1.8613,1.052,2.9279,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,pl,streaming_llm,0.25,0.93,False,0.54,0.44,0.64,0.66,0.52,0.8,True,0.0009995002498750624,3.5246,2.7162,4.6693,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,pl,knorm,0.5,0.93,False,-0.01,-0.07,0.04,0.08,-0.01,0.17,False,0.101,0.2532,-0.8002,1.2477,False,0.606,0.12537931034482758,0.6416470588235293,False,False
llama31-8b,qa,niah_none,pl,knorm,0.25,0.93,False,0.02,-0.04,0.08,0.03,-0.09,0.14,False,0.666,0.3007,-0.7207,1.3246,False,0.527,0.7051764705882354,0.5749090909090909,False,False
llama31-8b,qa,niah_none,sw,snapkv,0.5,0.21,True,0.08,0.01,0.16,0.26,0.16,0.36,True,0.0009995002498750624,1.4647,0.8884,2.1976,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,sw,snapkv,0.25,0.21,True,0.14,0.07,0.22,0.35,0.24,0.46,True,0.0009995002498750624,2.322,1.5835,3.3419,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,sw,streaming_llm,0.5,0.21,True,0.19,0.11,0.28,0.22,0.11,0.33,True,0.0009995002498750624,2.4956,1.5027,4.3496,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,sw,streaming_llm,0.25,0.21,True,0.15,0.06,0.24,0.27,0.13,0.4,True,0.0009995002498750624,1.9278,1.0318,3.1577,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,sw,knorm,0.5,0.21,True,0.16,0.07,0.26,0.25,0.13,0.37,True,0.0009995002498750624,1.9537,1.0237,3.3626,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,sw,knorm,0.25,0.21,True,0.21,0.13,0.3,0.22,0.1,0.34,True,0.0009995002498750624,4.0383,3.346,4.614,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,vi,snapkv,0.5,0.63,False,0.04,-0.06,0.14,0.22,0.1,0.34,True,0.0009995002498750624,1.0699,0.5376,1.6583,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,vi,snapkv,0.25,0.63,False,-0.13,-0.22,-0.04,0.08,-0.05,0.2,False,0.231,0.4948,-0.1532,1.2102,False,0.14,0.259875,0.1866666666666667,False,False
llama31-8b,qa,niah_none,vi,streaming_llm,0.5,0.63,False,-0.11,-0.21,-0.01,-0.08,-0.21,0.04,False,0.222,-0.3774,-0.9702,0.1788,False,0.188,0.2578064516129032,0.2256,False,False
