model,lang,task,kept,sample_id,keep_overall,keep_value,keep_window,keep_question,keep_haystack,keep_overall_high,keep_value_high,keep_window_high,keep_question_high,keep_haystack_high,arm,frac_value_evicted,n_tokens,n_value_tokens,n_question_tokens,depth
llama31-8b,en,niah_single,0.5,7,0.49998486042022705,0.9466145848855376,0.6563585058320314,1.0,0.4998142246622592,0.49998486042022705,0.054687501047737896,0.3439670156512875,1.0,0.5001550954766572,qa,0.015625,33095,3,66,0.6911
llama31-8b,en,niah_single,0.5,8,0.5,0.9479166679084301,0.7904349649325013,1.0,0.49967428215313703,0.5,0.05208333441987634,0.20956503271008842,1.0,0.5003257016651332,qa,0.015625,33097,3,67,0.3398
llama31-8b,en,niah_single,0.5,9,0.49998486042022705,0.9570312509313226,0.56640625,1.0,0.49990432104095817,0.49998486042022705,0.04427083418704569,0.43623046710854396,1.0,0.500062161590904,qa,0.015625,33095,3,66,0.6238
llama31-8b,en,niah_single,0.5,10,0.5,0.9544270844198763,0.6834852428874001,1.0,0.49979979440104216,0.5,0.045572917675599456,0.3171658004721394,1.0,0.5001994796330109,qa,0.01171875,33097,3,67,0.9597
llama31-8b,en,niah_single,0.5,11,0.49998486042022705,0.9544270848855376,0.7155827699461952,1.0,0.4997430747607723,0.49998486042022705,0.045572917559184134,0.2861064194876235,1.0,0.5002247279044241,qa,0.015625,33095,3,66,0.8566
llama31-8b,en,niah_single,0.5,12,0.49998486042022705,0.9557291675591841,0.6930338537786156,1.0,0.49977420771028847,0.49998486042022705,0.04296875081490725,0.3070746541416156,1.0,0.5001953467726707,qa,0.015625,33095,3,66,0.8879
llama31-8b,en,niah_single,0.5,13,0.5,0.9453125017462298,0.5700041108066216,1.0,0.49991937552113086,0.5,0.05598958465270698,0.43256579071749,1.0,0.500077678821981,qa,0.01171875,33097,3,67,0.9046
llama31-8b,en,niah_single,0.5,14,0.49998486042022705,0.9570312510477379,0.8745404329383746,1.0,0.4995988946175203,0.49998486042022705,0.042968750931322575,0.12419577448599739,1.0,0.5003720888635144,qa,0.01171875,33095,3,66,0.0532
llama31-8b,en,niah_single,0.5,15,0.49998486042022705,0.9596354175591841,0.843017578125,1.0,0.49965219583828,0.49998486042022705,0.03906250081490725,0.1572265625,1.0,0.5003172653960064,qa,0.01171875,33095,3,66,0.1399
llama31-8b,en,niah_single,0.5,16,0.49998486042022705,0.946614584652707,0.5581341987708583,1.0,0.49992494785692543,0.49998486042022705,0.05208333441987634,0.43635111063485965,1.0,0.500050438917242,qa,0.015625,33095,3,66,0.4263
llama31-8b,en,niah_single,0.5,17,0.49998486042022705,0.9518229181412607,0.47478694014716893,1.0,0.5000100571196526,0.49998486042022705,0.048177084303461015,0.5242661044467241,1.0,0.4999605710618198,qa,0.01171875,33095,3,66,0.2838
llama31-8b,en,niah_single,0.5,18,0.5,0.9466145845362917,0.5697544822469354,1.0,0.4999260137556121,0.5,0.05338541779201478,0.4283482255996205,1.0,0.500076012336649,qa,0.015625,33097,3,67,0.4263
llama31-8b,en,niah_single,0.5,19,0.49998486042022705,0.9570312511641532,0.719835072173737,1.0,0.4997449639486149,0.49998486042022705,0.04166666744276881,0.2794053851685021,1.0,0.5002255415311083,qa,0.015625,33095,3,66,0.8566
llama31-8b,en,niah_single,0.5,20,0.49998486042022705,0.9557291677920148,0.5634765613358468,1.0,0.4999078734545037,0.49998486042022705,0.045572917675599456,0.4383789044804871,1.0,0.5000595559831709,qa,0.01171875,33095,3,66,0.6238
llama31-8b,en,niah_single,0.5,21,0.49998486042022705,0.9335937520954758,0.6867609777254984,1.0,0.4997753988718614,0.49998486042022705,0.06640625151339918,0.30078125043655746,1.0,0.5002082692226395,qa,0.015625,33095,3,66,0.4842
llama31-8b,en,niah_single,0.5,22,0.49998486042022705,0.9166666688397527,0.6773648635717109,1.0,0.49978593725245446,0.49998486042022705,0.08333333523478359,0.31059966172324494,1.0,0.5001972606405616,qa,0.01953125,33095,3,66,0.4842
llama31-8b,en,niah_single,0.5,23,0.49998486042022705,0.9557291680248454,0.7876900335540995,1.0,0.499662202433683,0.49998486042022705,0.044270834303461015,0.21083192486548796,1.0,0.500309141818434,qa,0.01171875,33095,3,66,0.3398
