[18:34:32] ===== stage=aggregate ts=20260729_183432 ctx=32768 attn=sdpa seed_default=42 =====
[18:34:35] env: datasets==5.0.0 | kvpress==0.5.4 | torch==2.13.0 | transformers==5.2.0 -> /vol/logs/env_aggregate_20260729_183432.txt
[18:34:37] excluding 42 toy selftest rows from aggregation
[18:34:38] per-cell table (95% bootstrap CIs):
       model   arm lang  ctx_len         press  kept        task  seed   toy  acc  ci_low  ci_high   n  mean_wall_s
qwen25-7b-1m joint   zh    32768         knorm  0.25 niah_single    42 False 0.00    0.00     0.00 100         3.87
qwen25-7b-1m joint   en    32768         knorm  0.50 niah_single    42 False 0.09    0.04     0.15 100         4.54
qwen25-7b-1m joint   ja    32768         knorm  0.50 niah_single    42 False 0.08    0.03     0.14 100         4.06
qwen25-7b-1m joint   ko    32768         knorm  0.50 niah_single    42 False 0.63    0.54     0.71 100         5.24
qwen25-7b-1m joint   pl    32768         knorm  0.50 niah_single    42 False 0.07    0.03     0.12 100         4.36
qwen25-7b-1m joint   sw    32768         knorm  0.50 niah_single    42 False 0.08    0.03     0.14 100         6.07
qwen25-7b-1m joint   vi    32768         knorm  0.50 niah_single    42 False 0.11    0.05     0.18 100         5.10
qwen25-7b-1m joint   zh    32768         knorm  0.50 niah_single    42 False 0.09    0.04     0.14 100         3.63
qwen25-7b-1m joint   en    32768          none  1.00 niah_single    42 False 0.98    0.95     1.00 100         4.56
qwen25-7b-1m joint   ja    32768          none  1.00 niah_single    42 False 0.90    0.84     0.95 100         3.97
qwen25-7b-1m joint   ko    32768          none  1.00 niah_single    42 False 1.00    1.00     1.00 100         5.44
qwen25-7b-1m joint   pl    32768          none  1.00 niah_single    42 False 1.00    1.00     1.00 100         4.70
qwen25-7b-1m joint   sw    32768          none  1.00 niah_single    42 False 0.56    0.46     0.66 100         5.62
qwen25-7b-1m joint   vi    32768          none  1.00 niah_single    42 False 0.96    0.92     0.99 100         5.11
qwen25-7b-1m joint   zh    32768          none  1.00 niah_single    42 False 0.98    0.95     1.00 100         3.56
qwen25-7b-1m joint   en    32768        snapkv  0.25 niah_single    42 False 0.98    0.95     1.00 100         4.67
qwen25-7b-1m joint   ja    32768        snapkv  0.25 niah_single    42 False 0.92    0.86     0.97 100         4.04
qwen25-7b-1m joint   ko    32768        snapkv  0.25 niah_single    42 False 1.00    1.00     1.00 100         5.48
