model,arm,task,lang,press,kept,n,acc,ci_low,ci_high
qwen25-7b-1m,joint,niah_single,sw,snapkv,0.25,100,0.48,0.38,0.58
qwen25-7b-1m,joint,niah_single,sw,snapkv,0.5,100,0.59,0.49,0.6802
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.25,100,0.14,0.08,0.21
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.5,100,0.25,0.17,0.34
qwen25-7b-1m,joint,niah_single,vi,knorm,0.25,100,0.0,0.0,0.0
qwen25-7b-1m,joint,niah_single,vi,knorm,0.5,100,0.11,0.05,0.18
qwen25-7b-1m,joint,niah_single,vi,none,1.0,100,0.96,0.92,0.99
qwen25-7b-1m,joint,niah_single,vi,snapkv,0.25,100,0.96,0.92,0.99
qwen25-7b-1m,joint,niah_single,vi,snapkv,0.5,100,0.96,0.92,0.99
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.25,100,0.28,0.2,0.37
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.5,100,0.49,0.39,0.59
qwen25-7b-1m,joint,niah_single,zh,knorm,0.25,100,0.0,0.0,0.0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,100,0.09,0.04,0.15
qwen25-7b-1m,joint,niah_single,zh,none,1.0,100,0.98,0.95,1.0
qwen25-7b-1m,joint,niah_single,zh,snapkv,0.25,100,0.98,0.95,1.0
qwen25-7b-1m,joint,niah_single,zh,snapkv,0.5,100,0.98,0.95,1.0
qwen25-7b-1m,joint,niah_single,zh,streaming_llm,0.25,100,0.25,0.17,0.34
qwen25-7b-1m,joint,niah_single,zh,streaming_llm,0.5,100,0.42,0.32,0.52
qwen25-7b-1m,qa,niah_none,en,knorm,0.25,100,0.98,0.95,1.0
qwen25-7b-1m,qa,niah_none,en,knorm,0.5,100,0.99,0.97,1.0
qwen25-7b-1m,qa,niah_none,en,none,1.0,100,0.96,0.92,0.99
qwen25-7b-1m,qa,niah_none,en,snapkv,0.25,100,0.97,0.93,1.0
qwen25-7b-1m,qa,niah_none,en,snapkv,0.5,100,0.96,0.92,0.99
qwen25-7b-1m,qa,niah_none,en,streaming_llm,0.25,100,0.95,0.9,0.99
qwen25-7b-1m,qa,niah_none,en,streaming_llm,0.5,100,0.97,0.93,1.0
qwen25-7b-1m,qa,niah_none,ja,knorm,0.25,100,0.93,0.88,0.98
qwen25-7b-1m,qa,niah_none,ja,knorm,0.5,100,0.93,0.87,0.98
qwen25-7b-1m,qa,niah_none,ja,none,1.0,100,0.75,0.66,0.83
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.25,100,0.92,0.87,0.97
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.5,100,0.86,0.79,0.92
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.25,100,0.78,0.7,0.86
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.5,100,0.57,0.47,0.66
qwen25-7b-1m,qa,niah_none,ko,knorm,0.25,100,0.76,0.67,0.84
qwen25-7b-1m,qa,niah_none,ko,knorm,0.5,100,0.55,0.45,0.65
qwen25-7b-1m,qa,niah_none,ko,none,1.0,100,0.37,0.27,0.46
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.25,100,0.62,0.52,0.71
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.5,100,0.55,0.45,0.65
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.25,100,0.57,0.47,0.6602
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.5,100,0.41,0.32,0.51
qwen25-7b-1m,qa,niah_none,pl,knorm,0.25,100,1.0,1.0,1.0
qwen25-7b-1m,qa,niah_none,pl,knorm,0.5,100,1.0,1.0,1.0
qwen25-7b-1m,qa,niah_none,pl,none,1.0,100,1.0,1.0,1.0
qwen25-7b-1m,qa,niah_none,pl,snapkv,0.25,100,1.0,1.0,1.0
qwen25-7b-1m,qa,niah_none,pl,snapkv,0.5,100,1.0,1.0,1.0
qwen25-7b-1m,qa,niah_none,pl,streaming_llm,0.25,100,1.0,1.0,1.0
qwen25-7b-1m,qa,niah_none,pl,streaming_llm,0.5,100,1.0,1.0,1.0
qwen25-7b-1m,qa,niah_none,sw,knorm,0.25,100,0.9,0.84,0.95
qwen25-7b-1m,qa,niah_none,sw,knorm,0.5,100,0.83,0.75,0.9
qwen25-7b-1m,qa,niah_none,sw,none,1.0,100,0.58,0.48,0.68
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.25,100,0.95,0.9,0.99
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.5,100,0.87,0.8,0.93
qwen25-7b-1m,qa,niah_none,sw,streaming_llm,0.25,100,1.0,1.0,1.0
qwen25-7b-1m,qa,niah_none,sw,streaming_llm,0.5,100,0.93,0.87,0.98
qwen25-7b-1m,qa,niah_none,vi,knorm,0.25,100,0.95,0.9,0.99
qwen25-7b-1m,qa,niah_none,vi,knorm,0.5,100,0.9,0.84,0.95
qwen25-7b-1m,qa,niah_none,vi,none,1.0,100,0.9,0.84,0.95
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.25,100,0.98,0.95,1.0
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.5,100,0.91,0.85,0.96
qwen25-7b-1m,qa,niah_none,vi,streaming_llm,0.25,100,0.98,0.95,1.0
qwen25-7b-1m,qa,niah_none,vi,streaming_llm,0.5,100,0.96,0.92,0.99
qwen25-7b-1m,qa,niah_none,zh,knorm,0.25,100,1.0,1.0,1.0
qwen25-7b-1m,qa,niah_none,zh,knorm,0.5,100,0.99,0.97,1.0
qwen25-7b-1m,qa,niah_none,zh,none,1.0,100,0.94,0.89,0.98
qwen25-7b-1m,qa,niah_none,zh,snapkv,0.25,100,0.99,0.97,1.0
qwen25-7b-1m,qa,niah_none,zh,snapkv,0.5,100,0.97,0.93,1.0
