model,arm,task,lang,press,kept,mode,n,rate
llama31-8b,qa,niah_none,zh,knorm,0.25,false_presence_hallucinated,51,0.51
llama31-8b,qa,niah_none,zh,knorm,0.25,other,1,0.01
llama31-8b,qa,niah_none,zh,knorm,0.5,correct,18,0.18
llama31-8b,qa,niah_none,zh,knorm,0.5,false_presence_distractor,51,0.51
llama31-8b,qa,niah_none,zh,knorm,0.5,false_presence_hallucinated,28,0.28
llama31-8b,qa,niah_none,zh,knorm,0.5,other,3,0.03
llama31-8b,qa,niah_none,zh,none,1.0,correct,24,0.24
llama31-8b,qa,niah_none,zh,none,1.0,false_presence_distractor,74,0.74
llama31-8b,qa,niah_none,zh,none,1.0,other,2,0.02
llama31-8b,qa,niah_none,zh,snapkv,0.25,correct,43,0.43
llama31-8b,qa,niah_none,zh,snapkv,0.25,false_presence_distractor,14,0.14
llama31-8b,qa,niah_none,zh,snapkv,0.25,false_presence_hallucinated,30,0.3
llama31-8b,qa,niah_none,zh,snapkv,0.25,other,13,0.13
llama31-8b,qa,niah_none,zh,snapkv,0.5,correct,17,0.17
llama31-8b,qa,niah_none,zh,snapkv,0.5,false_presence_distractor,50,0.5
llama31-8b,qa,niah_none,zh,snapkv,0.5,false_presence_hallucinated,29,0.29
llama31-8b,qa,niah_none,zh,snapkv,0.5,other,4,0.04
llama31-8b,qa,niah_none,zh,streaming_llm,0.25,correct,64,0.64
llama31-8b,qa,niah_none,zh,streaming_llm,0.25,false_presence_distractor,33,0.33
llama31-8b,qa,niah_none,zh,streaming_llm,0.25,false_presence_hallucinated,2,0.02
llama31-8b,qa,niah_none,zh,streaming_llm,0.25,other,1,0.01
llama31-8b,qa,niah_none,zh,streaming_llm,0.5,correct,29,0.29
llama31-8b,qa,niah_none,zh,streaming_llm,0.5,false_presence_distractor,70,0.7
llama31-8b,qa,niah_none,zh,streaming_llm,0.5,false_presence_hallucinated,1,0.01
llama31-8b,qa,niah_single,en,knorm,0.25,correct,17,0.17
llama31-8b,qa,niah_single,en,knorm,0.25,false_absence,6,0.06
llama31-8b,qa,niah_single,en,knorm,0.25,wrong_number,77,0.77
llama31-8b,qa,niah_single,en,knorm,0.5,correct,72,0.72
llama31-8b,qa,niah_single,en,knorm,0.5,wrong_number,28,0.28
llama31-8b,qa,niah_single,en,none,1.0,correct,100,1.0
llama31-8b,qa,niah_single,en,snapkv,0.25,correct,45,0.45
llama31-8b,qa,niah_single,en,snapkv,0.25,false_absence,36,0.36
llama31-8b,qa,niah_single,en,snapkv,0.25,other,1,0.01
llama31-8b,qa,niah_single,en,snapkv,0.25,wrong_number,18,0.18
llama31-8b,qa,niah_single,en,snapkv,0.5,correct,90,0.9
llama31-8b,qa,niah_single,en,snapkv,0.5,false_absence,5,0.05
llama31-8b,qa,niah_single,en,snapkv,0.5,wrong_number,5,0.05
llama31-8b,qa,niah_single,en,streaming_llm,0.25,correct,27,0.27
llama31-8b,qa,niah_single,en,streaming_llm,0.25,false_absence,56,0.56
llama31-8b,qa,niah_single,en,streaming_llm,0.25,other,1,0.01
llama31-8b,qa,niah_single,en,streaming_llm,0.25,wrong_number,16,0.16
llama31-8b,qa,niah_single,en,streaming_llm,0.5,correct,46,0.46
llama31-8b,qa,niah_single,en,streaming_llm,0.5,false_absence,36,0.36
