model,arm,task,press,kept,lang,bin,acc,n
llama31-8b,qa,niah_single,knorm,0.5,zh,.25-.5,0.2917,24
llama31-8b,qa,niah_single,knorm,0.5,zh,.5-.75,0.25,16
llama31-8b,qa,niah_single,knorm,0.5,zh,.75-1,0.1786,28
llama31-8b,qa,niah_single,none,1.0,en,0-.25,1.0,26
llama31-8b,qa,niah_single,none,1.0,en,.25-.5,1.0,28
llama31-8b,qa,niah_single,none,1.0,en,.5-.75,1.0,18
llama31-8b,qa,niah_single,none,1.0,en,.75-1,1.0,28
llama31-8b,qa,niah_single,none,1.0,ja,0-.25,1.0,27
llama31-8b,qa,niah_single,none,1.0,ja,.25-.5,1.0,27
llama31-8b,qa,niah_single,none,1.0,ja,.5-.75,1.0,18
llama31-8b,qa,niah_single,none,1.0,ja,.75-1,0.9286,28
llama31-8b,qa,niah_single,none,1.0,ko,0-.25,0.963,27
llama31-8b,qa,niah_single,none,1.0,ko,.25-.5,0.875,24
llama31-8b,qa,niah_single,none,1.0,ko,.5-.75,0.7619,21
llama31-8b,qa,niah_single,none,1.0,ko,.75-1,0.5,28
llama31-8b,qa,niah_single,none,1.0,pl,0-.25,1.0,32
llama31-8b,qa,niah_single,none,1.0,pl,.25-.5,1.0,22
llama31-8b,qa,niah_single,none,1.0,pl,.5-.75,0.9444,18
llama31-8b,qa,niah_single,none,1.0,pl,.75-1,0.4643,28
llama31-8b,qa,niah_single,none,1.0,sw,0-.25,0.8125,32
llama31-8b,qa,niah_single,none,1.0,sw,.25-.5,0.9167,24
llama31-8b,qa,niah_single,none,1.0,sw,.5-.75,1.0,16
llama31-8b,qa,niah_single,none,1.0,sw,.75-1,1.0,28
llama31-8b,qa,niah_single,none,1.0,vi,0-.25,1.0,26
llama31-8b,qa,niah_single,none,1.0,vi,.25-.5,1.0,22
llama31-8b,qa,niah_single,none,1.0,vi,.5-.75,1.0,21
llama31-8b,qa,niah_single,none,1.0,vi,.75-1,0.6774,31
llama31-8b,qa,niah_single,none,1.0,zh,0-.25,0.9688,32
llama31-8b,qa,niah_single,none,1.0,zh,.25-.5,1.0,24
llama31-8b,qa,niah_single,none,1.0,zh,.5-.75,1.0,16
llama31-8b,qa,niah_single,none,1.0,zh,.75-1,0.9643,28
llama31-8b,qa,niah_single,snapkv,0.25,en,0-.25,0.2308,26
llama31-8b,qa,niah_single,snapkv,0.25,en,.25-.5,0.1786,28
llama31-8b,qa,niah_single,snapkv,0.25,en,.5-.75,0.5556,18
llama31-8b,qa,niah_single,snapkv,0.25,en,.75-1,0.8571,28
llama31-8b,qa,niah_single,snapkv,0.25,ja,0-.25,0.2593,27
llama31-8b,qa,niah_single,snapkv,0.25,ja,.25-.5,0.037,27
llama31-8b,qa,niah_single,snapkv,0.25,ja,.5-.75,0.0556,18
llama31-8b,qa,niah_single,snapkv,0.25,ja,.75-1,0.4286,28
llama31-8b,qa,niah_single,snapkv,0.25,ko,0-.25,0.7407,27
